horse_id,horse_name,father,mother,grandfather,hair_color,farm
,レッドジェダイト,トーセンラー,ディアースパークル,マイネルラヴ,青鹿,
,カンチェンジュンガ,ビッグアーサー,クェスタボルタ,ノヴェリスト,鹿,
,テイエムマズルカ,ディーマジェスティ,エクストラニュース,エンドスウィープ,鹿,
,エリカエクラ,シャンハイボビー,コイヲダキシメヨウ,ワークフォース,青鹿,
,スナークレジスト,トゥザグローリー,フォーモサマンボ,ノボジャック,鹿,
,バガン,バゴ,トーコーユズキ,ディープインパクト,青,
,メイショウカムロ,メイショウボーラー,シェムリアップ,ネオユニヴァース,鹿,
,ファンジオ,モーリス,マンテラライ,Catcher In The Rye,鹿,
,エナハツホ,トビーズコーナー,タイセイゴディス,ステイゴールド,栗,
,メイショウマントル,メイショウボーラー,ピンクトルマリン,Fusaichi Pegasus,鹿,
,アトレイユ,ドレフォン,プラチナローズ,クロフネ,芦,
,クリノアンビシャス,ホッコータルマエ,クリノスペシャル,スペシャルウィーク,青鹿,
,ラインオブソウル,シニスターミニスター,ファーストレディ,スマートボーイ,鹿,
,ダノンシュネラ,ドゥラメンテ,ラッドルチェンド,Danehill Dancer,鹿,
,マテンロウルビー,ロードカナロア,ラシンティランテ,アグネスタキオン,鹿,
,エコロマンボ,キズナ,マンボカーニバル,Kingmambo,鹿,
,スズカマクフィ,マクフィ,スズカローラン,サンデーサイレンス,鹿,
,メタモルフォーゼ,キンシャサノキセキ,エンブレイス,アフリート,鹿,
,サルビア,ダイワメジャー,リップスポイズン,Mamool,栗,
,コモレビキラリ,ダノンレジェンド,ジャドール,フジキセキ,青鹿,
,フェアレストアイル,ディープインパクト,スターアイル,ロックオブジブラルタル,鹿,
,メイショウホマレ,ディスクリートキャット,メイショウラグーナ,バブルガムフェロー,黒鹿,
,ラフリッグフェル,ゴールドアリュール,アンブルサイド,ウォーエンブレム,栗,
,スズカクローカス,スズカフェニックス,サワヤカラスカル,ラスカルスズカ,黒鹿,
,テオドラB,サウスヴィグラス,シャインリザルト,Victory Gallop,栗,
,クリノカサット,ゴールドアリュール,クリノビリオネア,ディアブロ,栗,
,クリノキララ,クレスコグランド,バクシンクリチャン,サクラバクシンオー,鹿,
,フローラルビアンカ,ドレフォン,ビアンカシェボン,フジキセキ,黒鹿,
,シルフィードレーヴ,アメリカンペイトリオット,キモンクイーン,クロフネ,芦,
,スーパーアグリ,リオンディーズ,クラシックリディア,ハービンジャー,青鹿,
,ミルトクレイモー,バゴ,ウートゥルメール,マンハッタンカフェ,鹿,
,ダンシングニードル,ファインニードル,ダンシングワンダー,グラスワンダー,栗,
,チカポコ,ブラックタイド,アスペンアベニュー,トワイニング,鹿,
,ピーチクパーチク,シャンハイボビー,ボロブドゥール,ハイアーゲーム,青鹿,
,イコサン,ビッグアーサー,メイショウトモシビ,ハーツクライ,鹿,
,オーケン,ファインニードル,アルシッペ,Seeking the Gold,鹿,
,ドーブネ,ディープインパクト,プレミアステップス,Footstepsinthesand,青,
,ドンナセレーノB,ロードカナロア,ヌーヴォレコルト,ハーツクライ,鹿,
,トオヤリトセイトB,ドリームジャーニー,ジャジャマーチャン,アドマイヤコジーン,青鹿,
,ロックユーB,ディープインパクト,シャンロッサ,Galileo,青鹿,
,ファユエン,ヴァンセンヌ,サクラパピルス,アグネスデジタル,鹿,
,ボーデン,ハービンジャー,ボージェスト,キングカメハメハ,鹿,
,ストーリア,リオンディーズ,フェリス,ジャングルポケット,鹿,
,メモリーエフェクト,モーリス,メモリーパフィア,ノボジャック,鹿,
,アサケレディ,キズナ,メルセンヌナンバー,ワイルドラッシュ,黒鹿,
,フィデル,ハーツクライ,ラッキートゥビーミー,Bernstein,鹿,
,ルースB,ドゥラメンテ,ヤマカツマリリン,グラスワンダー,栗,
,ローゼライトB,キズナ,エンブレイス,アフリート,鹿,
